reg_id;Region;year;1;2;3;4;5;6;7;8;9;10;11;12
R88;Urlaubsregion Murtal;2799,223807;4754,460543;5240,379348;3267,370925;1179,649882;1146,931061;2363,921356;3562,576829;3989,507196;1351,409867;1125,575424;528,1730506;4298,081201
R89;Waldviertel;1079,889;1358,873263;1301,220284;1275,534766;938,3734778;1241,86738;839,9759817;957,9573566;806,6784313;1200,506702;1062,329095;1333,162138;1064,996321
R90;Weinviertel;373,2327027;402,7501341;396,1404817;474,0226956;576,1246178;579,1291854;697,2039082;691,9678518;526,8370799;597,9628598;575,4815902;500,4856908;592,5397126
R91;Wien;17287,57177;35663,52762;36859,67177;35022,75174;45979,1833;40329,57806;42509,56737;44170,18545;47213,43;35620,05133;45958,63253;47255,49297;66353,73469
R92;Wiener Alpen in Niederösterreich;580,7885059;1038,886;795,6339104;514,4278142;635,2856523;1126,374695;1107,592623;1309,248676;1060,101881;819,7849182;792,3910723;402,3644251;714,9074953
R93;Wienerwald;1054,972114;1492,994359;1636,2075;1714,474495;2002,426724;1774,320563;1539,688721;1440,313098;1696,416095;1497,656019;1655,8746;1473,574331;1905,491743
R94;Wilder Kaiser;4677,43965;3023,36688;3940,101038;5872,644506;1306,298326;4283,68813;5138,009124;4806,97417;4307,975406;2704,367941;4003,009473;752,7396896;2675,38534
R95;Wildschönau;1940,347322;2197,379863;2602,638213;2089,953204;415,4226331;1124,688081;1529,220712;1947,944936;1614,285473;915,115672;538,5228554;127,5758684;870,132695
R96;Wipptal;471,0573725;536,7120081;706,399946;591,8432691;331,8747811;408,9423498;491,469352;736,6068008;691,6693322;424,2627477;473,5869349;275,1581723;308,3998634
R97;Wolfgangsee;1148,142496;357,539517;448,4746646;281,9758626;504,0404907;640,9108454;870,3292796;568,9983782;407,656382;489,7200322;626,9311504;404,3671329;536,0711302
R98;Wörthersee;5448,587417;326,1621071;371,6474352;532,1860925;1468,645198;3217,213324;2603,615433;2167,26919;2675,801496;1290,704893;874,9446139;654,8859254;835,3930864
R99;Zell am See - Kaprun;5295,160566;6127,24608;7447,249171;6083,335277;4344,082762;3439,021534;6073,472778;8784,800109;10549,19692;4882,327499;3827,498765;1741,619832;4927,829095
R100;Zell-Gerlos;3812,066491;3547,79573;3081,341051;2889,015051;2133,67048;1108,516579;1956,132891;3208,839027;3153,491087;1467,050708;1226,191956;427,1734721;2416,710078
R101;Zentralraum Oberösterreich;232,7132884;431,5488968;619,7843994;459,7640335;345,640902;480,440259;817,9609567;915,4257019;738,1738253;608,6997359;416,3626318;445,7905954;404,8770107
